2019-10-14 22:49:06,902 WARN  [main] util.NativeCodeLoader (NativeCodeLoader.java:<clinit>(60)) - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
1988,1,8,5,1532,1525,1555,1545,PI,930,,23.00,20.00,,10.00,7.00,BGM,ITH,32.00,,,0.00,,0.00,,,,,
1988,1,9,6,1522,1525,1535,1545,PI,930,,13.00,20.00,,-10.00,-3.00,BGM,ITH,32.00,,,0.00,,0.00,,,,,
1988,1,10,7,1522,1525,1534,1545,PI,930,,12.00,20.00,,-11.00,-3.00,BGM,ITH,32.00,,,0.00,,0.00,,,,,
1988,1,11,1,,1525,,1545,PI,930,,,20.00,,,,BGM,ITH,32.00,,,1.00,,0.00,,,,,
1988,1,12,2,1524,1525,1540,1545,PI,930,,16.00,20.00,,-5.00,-1.00,BGM,ITH,32.00,,,0.00,,0.00,,,,,
1988,1,13,3,1528,1525,1541,1545,PI,930,,13.00,20.00,,-4.00,3.00,BGM,ITH,32.00,,,0.00,,0.00,,,,,
1988,1,14,4,,1525,,1545,PI,930,,,20.00,,,,BGM,ITH,32.00,,,1.00,,0.00,,,,,
1988,1,15,5,1521,1525,1536,1545,PI,930,,15.00,20.00,,-9.00,-4.00,BGM,ITH,32.00,,,0.00,,0.00,,,,,
1988,1,16,6,1526,1525,1544,1545,PI,930,,18.00,20.00,,-1.00,1.00,BGM,ITH,32.00,,,0.00,,0.00,,,,,
1988,1,17,7,1522,1525,1540,1545,PI,930,,18.00,20.00,,-5.00,-3.00,BGM,ITH,32.00,,,0.00,,0.00,,,,,
1988,1,18,1,,1525,,1545,PI,930,,,20.00,,,,BGM,ITH,32.00,,,1.00,,0.00,,,,,
1988,1,19,2,1524,1525,1542,1545,PI,930,,18.00,20.00,,-3.00,-1.00,BGM,ITH,32.00,,,0.00,,0.00,,,,,
1988,1,20,3,1528,1525,1549,1545,PI,930,,21.00,20.00,,4.00,3.00,BGM,ITH,32.00,,,0.00,,0.00,,,,,
1988,1,21,4,1527,1525,1541,1545,PI,930,,14.00,20.00,,-4.00,2.00,BGM,ITH,32.00,,,0.00,,0.00,,,,,
1988,1,22,5,1522,1525,1539,1545,PI,930,,17.00,20.00,,-6.00,-3.00,BGM,ITH,32.00,,,0.00,,0.00,,,,,
1988,1,23,6,1526,1525,1545,1545,PI,930,,19.00,20.00,,0.00,1.00,BGM,ITH,32.00,,,0.00,,0.00,,,,,
